4-1.25-7-nongauss, 4, 1.25, 7, nongauss, 0.42780269058295967, 0.010002023838689422, 0.7659192825112108, 0.1100009586604318, 0.8548883776776277 
4-1.5-5-nongauss, 4, 1.5, 5, nongauss, 0.44484304932735425, 0.010002023838689422, 0.7524663677130045, 0.1100009586604318, 0.8440587700400991 
6-1.5-3-nongauss, 6, 1.5, 3, nongauss, 0.38565022421524664, 0.010002023838689422, 0.7408071748878924, 0.1100009586604318, 0.8321529430708077 
4-1.5-7-nongauss, 4, 1.5, 7, nongauss, 0.4358744394618834, 0.010002023838689422, 0.7623318385650224, 0.1100009586604318, 0.8544623995179853 
4-1.25-3-nongauss, 4, 1.25, 3, nongauss, 0.3668161434977579, 0.010002023838689422, 0.7381165919282511, 0.1100009586604318, 0.8380049273331094 
6-1.0-5-nongauss, 6, 1.0, 5, nongauss, 0.39820627802690584, 0.010002023838689422, 0.7515695067264574, 0.1100009586604318, 0.8390363614122124 
4-1.0-3-nongauss, 4, 1.0, 3, nongauss, 0.20717488789237667, 0.010002023838689422, 0.6143497757847534, 0.1100009586604318, 0.7723545545660967 
6-1.0-3-nongauss, 6, 1.0, 3, nongauss, 0.40717488789237666, 0.010002023838689422, 0.7417040358744394, 0.1100009586604318, 0.8373995860516674 
6-1.25-3-nongauss, 6, 1.25, 3, nongauss, 0.42780269058295967, 0.010002023838689422, 0.768609865470852, 0.1100009586604318, 0.85881218390059 
4-1.5-3-nongauss, 4, 1.5, 3, nongauss, 0.41524663677130047, 0.010002023838689422, 0.7650224215246637, 0.1100009586604318, 0.8401350068063935 
6-1.0-7-nongauss, 6, 1.0, 7, nongauss, 0.43228699551569505, 0.010002023838689422, 0.7506726457399103, 0.1100009586604318, 0.8507852560987066 
4-1.0-5-nongauss, 4, 1.0, 5, nongauss, 0.18475336322869956, 0.010002023838689422, 0.6547085201793722, 0.1100009586604318, 0.7788568803087852 
6-1.25-5-nongauss, 6, 1.25, 5, nongauss, 0.4367713004484305, 0.010002023838689422, 0.757847533632287, 0.1100009586604318, 0.8572201914044126 
4-1.0-7-nongauss, 4, 1.0, 7, nongauss, 0.24663677130044842, 0.010002023838689422, 0.6609865470852018, 0.1100009586604318, 0.7946416398815732 
4-1.25-5-nongauss, 4, 1.25, 5, nongauss, 0.3955156950672646, 0.010002023838689422, 0.7192825112107624, 0.1100009586604318, 0.8341260162242411 
6-1.5-5-nongauss, 6, 1.5, 5, nongauss, 0.42152466367713004, 0.010002023838689422, 0.7533632286995515, 0.1100009586604318, 0.8407628266926792 
6-1.5-7-nongauss, 6, 1.5, 7, nongauss, 0.4026905829596413, 0.010002023838689422, 0.7515695067264574, 0.1100009586604318, 0.8389914949576227 
6-1.25-7-nongauss, 6, 1.25, 7, nongauss, 0.4547085201793722, 0.010002023838689422, 0.7775784753363228, 0.1100009586604318, 0.8687449018920669 
